"continent_name","num_countries","avg_avg_salary","avg_med_salary","avg_high_salary","avg_low_salary"
"Africa",46,698.223903716087,614.525139522609,3105.44348681087,175.915180726609
"Asia",42,1629.96642857143,1447.61833333333,7281.76261904762,404.300714285714
"Caribbean",13,1124.83923076923,991.976153846154,5000.45769230769,283.603076923077
"Central America",8,1892.72125,1685.25,8409.2975,477.2175
"Europe",42,3417.27227833333,3048.41469904762,15092.878647619,884.670277857143
"North America",1,1490,1350,6640,380
"Northern America",2,7638.97,6638.515,33985.295,1925
"Oceania",12,2215.465,1960.05833333333,9852.85583333333,558.495
"South America",12,1376.62083333333,1219.3775,6117.58,346.584166666667
