"country_name","continent_name","wage_span","median_salary","average_salary","lowest_salary","highest_salary","OOSR_Upper_Secondary_Age_Female","OOSR_Upper_Secondary_Age_Male","Completion_Rate_Upper_Secondary_Male","Completion_Rate_Upper_Secondary_Female","Gross_Tertiary_Education_Enrollment","Unemployment_Rate","IS_above_average","Income_gap"
"Gabon","Africa","Monthly",800.85,894.31,225.59,3980.08,0,0,14,14,8.3,20,FALSE,3754.49
"Georgia","Asia","Monthly",2309.7,2526.12,638.06,11231.34,4,7,79,83,63.9,14.4,TRUE,10593.28
"Germany","Europe","Monthly",3731.5,4048.63,1014.8,17970.4,16,12,0,0,70.2,3.04,TRUE,16955.6
"Ghana","Africa","Monthly",373.82,438.42,110.25,1946.6,28,28,12,9,15.7,4.33,FALSE,1836.35
"Greece","Europe","Monthly",2241.01,2579.28,655.39,11522.2,6,4,0,0,136.6,17.24,TRUE,10866.81
"Grenada","Caribbean","Monthly",2066.67,2329.63,588.89,10370.37,7,8,0,0,104.6,0,TRUE,9781.48
"Guatemala","Central America","Monthly",1222.65,1335.88,337.15,5954.2,61,57,27,25,21.8,2.46,FALSE,5617.05
"Guinea","Africa","Monthly",696.71,817.87,206.22,3634.99,76,59,22,13,11.6,4.3,FALSE,3428.77
"Guyana","South America","Monthly",731.32,841.26,211.75,3737.87,0,0,49,64,11.6,11.85,FALSE,3526.12
"Haiti","Caribbean","Monthly",444.95,506.2,127.66,2250.59,0,0,17,16,1.1,13.78,FALSE,2122.93
"Honduras","Central America","Monthly",1022.22,1139.39,287.27,5090.91,54,58,29,35,26.2,5.39,FALSE,4803.64
"Hungary","Europe","Monthly",1227.46,1344.23,339.45,5974.36,12,12,0,0,48.5,3.4,FALSE,5634.91
"Iceland","Europe","Monthly",4661.2,5049.03,1273.23,22464.51,11,15,0,0,71.8,2.84,TRUE,21191.28
"India","Asia","Monthly",327.97,384.43,97.07,1717.92,48,47,46,40,28.1,5.36,FALSE,1620.85
"Indonesia","Asia","Monthly",678.91,788.83,198.5,3504.47,22,23,40,37,36.3,4.69,FALSE,3305.97
"Iran","Asia","Monthly",932.63,1070.97,269.53,4770.47,27,25,0,0,68.1,11.38,FALSE,4500.94
"Iraq","Asia","Monthly",1382.38,1573.31,395.62,6988.25,0,0,45,43,16.2,12.82,FALSE,6592.63
"Italy","Europe","Monthly",3467.23,3868.92,972.52,17230.44,5,6,0,0,61.9,9.89,TRUE,16257.92
"Jamaica","Caribbean","Monthly",565.78,624.56,157.59,2777.24,22,25,80,83,27.1,8,FALSE,2619.65
"Japan","Asia","Monthly",3158.67,3453.12,869.97,15391.82,0,0,0,0,63.2,2.29,TRUE,14521.85
"Jordan","Asia","Monthly",1946.4,2284.91,578.28,10141.04,43,48,49,63,34.4,14.72,TRUE,9562.76
"Kazakhstan","Asia","Monthly",701,813.99,204.86,3620.08,0,0,95,96,61.7,4.59,FALSE,3415.22
"Kenya","Africa","Monthly",863.29,991.43,250.22,4424.36,0,0,44,38,11.5,2.64,FALSE,4174.14
"Kiribati","Oceania","Monthly",2206.45,2509.68,632.26,11161.29,0,0,13,20,0,0,TRUE,10529.03
"Kyrgyzstan","Asia","Monthly",201.87,219.92,55.6,980.04,26,30,89,85,41.3,6.33,FALSE,924.44
"Laos","Asia","Monthly",206.42,223.54,56.25,992.99,46,42,32,31,15,0.63,FALSE,936.74
"Latvia","Europe","Monthly",1654.0727,1952.1038,491.75135,8657.804,4,5,0,0,88.1,6.52,TRUE,8166.05265
"Lebanon","Asia","Monthly",753.33,873.33,219.33,3873.33,0,0,0,0,26.3,6.23,FALSE,3654
"Lesotho","Africa","Monthly",540.54,625.33,157.39,2776.89,29,38,27,37,10.2,23.41,FALSE,2619.5
"Liberia","Africa","Monthly",334.39,380.35,96.14,1690.44,31,20,18,9,11.9,2.81,FALSE,1594.3
"Libya","Africa","Monthly",417.18,470.35,118.61,2085.89,0,0,0,0,60.5,18.56,FALSE,1967.28
"Liechtenstein","Europe","Monthly",5224.04,5825.14,1464.48,25901.64,22,10,0,0,35.6,0,TRUE,24437.16
"Lithuania","Europe","Monthly",903.87466,997.90189,251.75032,4428.3792,2,4,0,0,72.4,6.35,FALSE,4176.62888
"Luxembourg","Europe","Monthly",4767.44,5211.42,1310.78,23150.11,17,22,0,0,19.2,5.36,TRUE,21839.33
"Madagascar","Africa","Monthly",250.87,290.48,73.28,1291.74,64,63,16,15,5.4,1.76,FALSE,1218.46
"Malawi","Africa","Monthly",132.38,151.69,38.24,674.79,76,62,15,13,0.8,5.65,FALSE,636.55
"Malaysia","Asia","Monthly",1236.17,1406.38,355.32,6255.32,32,41,0,0,45.1,3.32,FALSE,5900
"Maldives","Asia","Monthly",1099.61,1241.91,313.07,5517.46,0,0,0,0,31.2,6.14,FALSE,5204.39
"Mali","Africa","Monthly",478.58,533.36,134.55,2368.71,79,71,23,12,4.5,7.22,FALSE,2234.16
"Malta","Europe","Monthly",4439.75,4904.86,1236.79,21775.9,7,10,0,0,54.3,3.47,TRUE,20539.11
"Marshall Islands","Oceania","Monthly",2070,2260,570,10100,41,45,0,0,23.7,0,TRUE,9530
"Mauritania","Africa","Monthly",44.623043,52.497697,13.203171,232.82729,59,63,31,23,5,9.55,FALSE,219.624119
"Mauritius","Africa","Monthly",901.53,1047.66,263.04,4653.78,17,25,0,0,40.6,6.67,FALSE,4390.74
"Mexico","Central America","Monthly",1681.97,1917.34,482.78,8495.98,24,28,56,60,40.2,3.42,TRUE,8013.2
"Moldova","Europe","Monthly",1318.68,1467.03,370.33,6538.46,35,36,63,71,39.8,5.47,FALSE,6168.13
"Monaco","Europe","Monthly",4112.05,4492.6,1374.21,18921.78,0,0,0,0,0,0,TRUE,17547.57
